1.5061262493625964 + 1.1077809710640119im	1.5061262493625682 - 1.1077809710639157im	-0.8130428500677568 + 0.03932508849282325im	1.4077050604632726 + 1.1065006802216484im	1.5877712210424864 + 0.5727947653961523im	-0.8130428500677626 - 0.039325088492822985im	1.4077050604633234 - 1.1065006802216988im	1.5877712210423844 - 0.5727947653962324im	1.2378878644410132 + 0.39668649339853057im	1.2378878644410551 - 0.39668649339848083im	1.6633652959840723 - 1.5485248496601804e-14im	-0.3239104395685066 - 0.1513720613654411im	-0.3239104395685068 + 0.15137206136544112im	0.13156049266976344 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
3.886003362725954 + 0.006134738479757011im	3.8860030737317333 - 0.006134755779477053im	3.5570174646506865 + 0.023486557496375033im	3.557017116736955 - 0.023486556072201417im	3.0505662351181133 + 0.04899574937658223im	3.050566126211374 - 0.04899573730153447im	2.4244001203729058 + 0.07792433039665607im	2.4244001076691113 - 0.07792432690823632im	1.7498780557923093 + 0.10433629063858887im	1.7498780552534348 - 0.10433629033494493im	1.1037622624503471 + 0.12160851876869291im	1.1037622624421919 - 0.12160851876039133im	0.5592774398522218 + 0.12275730284179973im	0.5592774398521853 - 0.12275730284166618im	0.17697479870142652 - 0.0999746930007235im	0.17697479870142643 + 0.09997469300072334im	-0.007879360131189292 + 0.04242273160927321im	-0.007879360131189292 - 0.04242273160927321im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
2.2612345288635436 + 0.7150994210940116im	2.2874379290773343 + 0.24700350056460973im	2.3135913817703364 - 1.8354226128104134e-5im	2.287414026389187 - 0.24701601949897195im	2.2612356271081357 - 0.7150964044416128im	-0.2401852864131691 - 0.7239850531996939im	2.1264383278103707 + 0.15405243187285436im	-0.24018528641389864 + 0.7239850531965665im	2.2530646034328674 - 0.5119980932914673im	2.2530729407034102 + 0.5120061218697513im	2.2388134623618257 - 0.7185187607619984im	2.2388131844237305 + 0.7185157943613347im	2.1565234832646607 - 0.504528401597096im	2.156515532710722 + 0.504527401478099im	-0.2237450644954506 - 0.7367390577591577im	-0.22374506449504333 + 0.7367390577625071im	2.126443430658092 - 0.15402863742360653im	-0.15502680167476446 + 0.5325625728950292im	-0.0799120467228841 - 0.5878264336306928im	-0.15502680167476124 - 0.5325625728950243im	0.2824240723835758 + 2.2200923402029405e-15im	-0.07991204672287937 + 0.5878264336306842im	0.1406609174220085 + 0.3433523103482998im	0.14066091742200812 - 0.3433523103483001im	-0.06330298359447695 + 0.20388362837985416im	-0.06330298359447693 - 0.20388362837985413im	0.0 + 0.0im	0.0 + 0.0im
-3.2478927077726296 + 0.1391419706583782im	-3.2332197621255228 + 0.17358303328304003im	-3.1276696381441464 + 0.08036476099841677im	-3.1868471967142247 - 0.00040829172723221404im	-3.1277748480279515 - 0.08007548011771608im	-3.2475503337758935 - 0.1391472565826569im	-3.2333785053536612 - 0.1734587386437368im	-1.5337343990594123 + 0.4767568567482411im	-1.5878244644000705 - 0.39036381349034055im	-1.5878244751426835 + 0.39036381252538893im	-0.1538029920953319 + 0.4414542847890218im	0.22043308308324672 + 0.04439126419693234im	-1.2369596661501796 + 0.2562633483858575im	-1.5337344044386267 - 0.4767568548940897im	-1.4135449422372752 + 3.355350284319113e-11im	-1.2369596669452303 - 0.25626334717705884im	-0.1538029920954532 - 0.4414542847890622im	-0.25425512932116706 + 0.40194808390386766im	0.024783243268602467 - 0.22970331253720597im	0.22043308308322565 - 0.044391264196937535im	-0.25425512932117594 - 0.40194808390386766im	0.024783243268602786 + 0.22970331253720663im	-0.1394013995830467 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
2.2361966722461535 + 0.7473386961224433im	2.2361966722377575 - 0.747338696069159im	1.7764975748653626 + 0.1617018396092745im	2.1292782595983177 + 0.6297316601806511im	-0.2461829950059417 + 0.7355272981059068im	1.7764975749707514 - 0.16170183963137147im	2.129278259656166 - 0.6297316603082599im	-0.24618299500595048 - 0.7355272981059157im	1.956617903711484 - 0.43230939624559483im	1.9566179038279021 + 0.4323093963420251im	-0.17695220844147946 + 0.5772889997933618im	-0.176952208441479 - 0.5772889997933617im	-0.11113948724553234 - 0.29809879919512217im	-0.11113948724553228 + 0.2980987991951221im	-0.12863143972797897 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
3.2649390364882 - 0.17317461598586878im	3.2043551183876198 - 0.10037155566006771im	3.204355110504485 + 0.10037156883178902im	3.264939039708067 + 0.17317461349584934im	1.6151817091186547 - 0.4885266112459487im	1.61518170913327 + 0.4885266112234235im	1.4617147124866179 + 0.2898427528190826im	1.461714712460653 - 0.28984275278928734im	-0.2709060004431279 - 5.6075183213951e-15im	3.1669311228355843 - 1.0696595908683942e-8im	0.15084057663150222 - 0.2684589195041098im	0.21290408268156763 + 0.4935107247805779im	0.15084057663140718 + 0.2684589195041333im	1.330151077921006 + 7.565797785527687e-12im	0.2129040826815094 - 0.49351072478053754im	-0.04604666722702006 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
2.5739495178524106 + 0.36898940748182296im	2.3247179572447116 + 9.29818703826435e-16im	2.57394951785241 - 0.3689894074818239im	0.33764102137762686 + 0.5622795120623012im	0.337641021377627 - 0.5622795120623012im	-0.14789903570478735 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
-1.4901144209820345 + 1.1716025116958075im	-1.5057047767234861 - 0.7521130244771531im	0.8676700593486613 - 0.022902157277049im	-1.4344765654740563 + 1.1768240647551924im	-1.4901144209772335 - 1.171602511694828im	0.8676700593488151 + 0.02290215727702671im	-1.5828892690329335 + 0.243078992809138im	-1.5828892690278111 - 0.2430789928126601im	-1.261477895190574 + 0.7122488649870117im	-1.2614778951973573 - 0.7122488649859129im	0.49893222934236897 - 0.09421813299630816im	-1.434476565479002 - 1.1768240647542247im	-1.505704776729366 + 0.7521130244776351im	-1.2450867972629118 - 1.9769005481835228e-14im	0.4989322293423883 + 0.0942181329963443im	0.030604037347266137 + 0.1448755944706015im	0.030604037347266133 - 0.14487559447060153im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
0.25706586412167753 - 1.5290855136357462im	0.25706586412167726 + 1.5290855136357457im	-3.3801879100410085e-16 - 1.4142135623730951im	-8.528525561123528e-17 + 1.4142135623730951im	0.7429341358783228 + 0.5290855136357462im	0.7429341358783229 - 0.5290855136357461im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
0.007118047580397404 + 1.950630541730393im	0.007118049373865466 - 1.950630541455033im	-1.128551119558696e-9 - 1.94985582237025im	6.073737786252102e-10 + 1.9498558218320474im	0.028454711734692814 + 1.8051762351640173im	0.028454713373154875 - 1.8051762345962612im	-1.214529563955873e-9 - 1.8019377339843725im	4.2679431489683385e-10 + 1.8019377335214144im	0.06407745348627192 + 1.5715996630591242im	0.06407745375714499 - 1.5715996628457298im	-2.6367569654770985e-10 - 1.5636629646579376im	5.171797981053246e-11 + 1.563662964588227im	0.11454394503183941 + 1.263373030710642im	0.11454394503436405 - 1.2633730306940925im	-7.044384412143625e-13 + 1.2469796037110488im	-1.3426378002071821e-11 - 1.2469796037131118im	0.2653091834368124 + 0.5179750309605152im	0.3389765632294637 - 0.163356147853133im	0.1815200944154073 + 0.9009379445886162im	0.26530918343684723 - 0.5179750309604462im	0.33897656322951003 + 0.16335614785311378im	0.181520094415451 - 0.9009379445889824im	-9.93903124272356e-14 + 0.8677674782353736im	-1.222834750531877e-13 - 0.8677674782351833im	-2.7520280991086237e-16 + 0.44504186791262895im	2.314975918780628e-16 - 0.44504186791262873im	0.0 + 0.0im	0.0 + 0.0im
